dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,full_pool,HH,MLP,hidden_layer_sizes,0.0943266385246014,0.045603058969886624,10,0.004822308588797348,2.5,0.0,0.9,categorical_exact,5.0,7.9
adult,full_pool,HH,MLP,alpha,0.05445730804690905,0.04479229308023289,10,0.004822308588797348,3.1,0.0,0.6,numeric_exact,4.0,10.1
adult,full_pool,HH,MLP,activation,0.04401705897005789,0.035700707008988475,10,0.004822308588797348,3.4,0.0,0.5,categorical_exact,2.0,22.3
adult,full_pool,HH,RF,max_depth,0.47664657412713557,0.11813369232032257,10,0.013874221287678401,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,HH,RF,max_features,0.1348872961028458,0.058935487894381786,10,0.013440151051738708,2.4,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,HH,RF,min_samples_leaf,0.04922557027891046,0.03997541122187483,10,0.013440151051738708,3.5,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,HH,RF,min_samples_split,0.04558281414370281,0.03361767289524741,10,0.013440151051738708,3.6,0.0,0.5,numeric_exact,3.0,14.1
adult,full_pool,HH,RF,n_estimators,0.0197259874832465,0.014059959800634233,10,0.013440151051738708,4.5,0.0,0.0,numeric_exact,3.0,13.7
adult,full_pool,HH,kNN,n_neighbors,0.4918579937681239,0.017576507235496246,10,0.01117165600455316,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,HH,kNN,weights,0.005148615763261861,0.002421880328167972,10,0.01117165600455316,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,HH,kNN,p,0.0008211149567731414,0.0007843840530369882,10,0.01117165600455316,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,all,GBM,learning_rate,0.32678060729489056,0.07606119639924248,10,0.004559721595958373,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,all,GBM,n_estimators,0.07700082769029058,0.05667390951533656,10,0.004559721595958373,2.4,0.0,0.9,numeric_exact,3.0,14.2
adult,full_pool,all,GBM,max_depth,0.031149219220253647,0.02067393842511188,10,0.004559721595958373,3.0,0.0,0.7,numeric_exact,4.0,9.7
adult,full_pool,all,GBM,subsample,0.0165362192034799,0.011826681367011555,10,0.004559721595958373,3.6,0.0,0.4,numeric_exact,3.0,13.9
adult,full_pool,all,LogReg,C,0.3133334033395442,0.05701426241073457,10,0.010262640397329045,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,all,LogReg,l1_ratio,0.028550611842445707,0.019135296482046996,10,0.010262640397329045,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,all,MLP,learning_rate_init,0.2988585930871606,0.06103893332654423,10,0.002199521184942151,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,all,MLP,hidden_layer_sizes,0.09038035413171115,0.039837611624829176,10,0.002199521184942151,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,all,MLP,alpha,0.05445953147012239,0.0454837238170139,10,0.002199521184942151,3.0,0.0,0.7,numeric_exact,4.0,10.1
adult,full_pool,all,MLP,activation,0.030734474616484257,0.026460045847873793,10,0.002199521184942151,3.7,0.0,0.3,categorical_exact,2.0,22.3
adult,full_pool,all,RF,max_depth,0.478888872215853,0.10401751166192039,10,0.005171784157461709,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,all,RF,max_features,0.1537515528248519,0.062485678345099736,10,0.00516709471749078,2.3,0.0,1.0,categorical_exact,3.0,13.0
adult,full_pool,all,RF,min_samples_leaf,0.06884437496640947,0.0565054819102998,10,0.00516709471749078,3.2,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,all,RF,min_samples_split,0.04718339151415725,0.044539079140332255,10,0.00516709471749078,3.9,0.0,0.3,numeric_exact,3.0,14.1
adult,full_pool,all,RF,n_estimators,0.02323240198546986,0.013977720998668706,10,0.00516709471749078,4.6,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,all,kNN,n_neighbors,0.493319164313445,0.021185157541657482,10,0.005675655384339841,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,all,kNN,weights,0.006040221154315299,0.0025657263647083433,10,0.005675655384339841,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,all,kNN,p,0.0007654003546450092,0.0005565865568697522,10,0.005675655384339841,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,non_HH,GBM,learning_rate,0.2932069950697874,0.06715624831088347,10,0.002471269320804491,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,non_HH,GBM,n_estimators,0.05310779651764928,0.04453782294806033,10,0.002471269320804491,2.6,0.0,0.8,numeric_exact,3.0,14.2
adult,full_pool,non_HH,GBM,max_depth,0.038192316668097345,0.029104072341824203,10,0.002471269320804491,2.7,0.0,0.9,numeric_exact,4.0,9.7
adult,full_pool,non_HH,GBM,subsample,0.013630466511107567,0.008622964984809725,10,0.002471269320804491,3.7,0.0,0.3,numeric_exact,3.0,13.9
adult,full_pool,non_HH,LogReg,C,0.3233899952022284,0.059316129514369556,10,0.00472810265728676,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,non_HH,LogReg,l1_ratio,0.030384232074681754,0.020616732348206677,10,0.00472810265728676,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,non_HH,MLP,learning_rate_init,0.33040042548206944,0.06395155799694463,10,0.0014677583667872716,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,non_HH,MLP,hidden_layer_sizes,0.08697951228169833,0.03567877683227229,10,0.0014677583667872716,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,non_HH,MLP,alpha,0.05437408829755641,0.04222061468898414,10,0.0014677583667872716,2.8,0.0,0.9,numeric_exact,4.0,10.1
adult,full_pool,non_HH,MLP,activation,0.02150833942900926,0.024631963213060423,10,0.0014677583667872716,3.9,0.0,0.1,categorical_exact,2.0,22.3
adult,full_pool,non_HH,RF,max_depth,0.46337522270928694,0.07332192174691406,10,0.0027499004801211325,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,non_HH,RF,max_features,0.18107370318387145,0.07538539140574281,10,0.002865756763086859,2.3,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,non_HH,RF,min_samples_leaf,0.1076575520897105,0.0795686935084937,10,0.002865756763086859,3.1,0.0,0.8,numeric_exact,3.0,12.9
adult,full_pool,non_HH,RF,min_samples_split,0.052321612274464815,0.058731668512248855,10,0.002865756763086859,4.1,0.0,0.2,numeric_exact,3.0,14.1
adult,full_pool,non_HH,RF,n_estimators,0.028989947704269863,0.01794950938443174,10,0.002865756763086859,4.5,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,non_HH,kNN,n_neighbors,0.4941778649656926,0.02477491884446034,10,0.00414090772258933,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,non_HH,kNN,weights,0.006708823057152638,0.0028416894255611936,10,0.00414090772258933,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,non_HH,kNN,p,0.0007534232402581009,0.0004434135911158457,10,0.00414090772258933,3.0,0.0,1.0,numeric_exact,2.0,24.6
compas,Rashomon,HH,GBM,learning_rate,0.14745198932341336,0.1127797131105061,10,0.0032038621110457486,1.8,0.6,0.9,numeric_exact,3.7,3.9
compas,Rashomon,HH,GBM,max_depth,0.11153441247776141,0.05939052966570316,10,0.0031993238820633963,2.2,0.3,0.9,numeric_exact,3.8,4.1
compas,Rashomon,HH,GBM,n_estimators,0.06498127825821494,0.04512010924035548,10,0.0032028083559004156,2.9,0.1,0.5,numeric_exact,3.0,5.8
compas,Rashomon,HH,GBM,subsample,0.04731750994100399,0.031314697546225845,10,0.0032028083559004156,3.1,0.0,0.7,numeric_exact,3.0,5.8
compas,Rashomon,HH,LogReg,C,0.4462414842934762,0.25451893688293953,10,6.9065434681248e-05,1.0,1.0,1.0,numeric_tertile,2.8,5.1
compas,Rashomon,HH,LogReg,l1_ratio,0.0670196476994749,0.046338944249292455,10,6.9065434681248e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.7
compas,Rashomon,HH,MLP,learning_rate_init,0.19640372587768434,0.10284710759685463,10,0.0022819498120772133,1.9,0.4,1.0,numeric_exact,3.0,3.9
compas,Rashomon,HH,MLP,alpha,0.13922374203504068,0.12169666990726297,10,0.0022819498120772133,2.6,0.3,0.7,numeric_exact,4.0,4.4
compas,Rashomon,HH,MLP,hidden_layer_sizes,0.13914666820021535,0.06563743030835795,10,0.0022819498120772133,1.9,0.3,1.0,categorical_exact,5.0,2.8
compas,Rashomon,HH,MLP,activation,0.03145218982141755,0.02977234427341691,10,0.0022819498120772133,3.6,0.0,0.3,categorical_exact,2.0,9.1
compas,Rashomon,HH,RF,max_depth,0.3052784027203836,0.2087430810512759,10,0.007031656530465049,2.0,0.5,0.9,numeric_exact,3.3,3.8
compas,Rashomon,HH,RF,max_features,0.26970817530617885,0.22424285286225829,10,0.006798183434289634,2.3,0.5,0.8,categorical_exact,3.0,5.4
compas,Rashomon,HH,RF,min_samples_leaf,0.15843256077831744,0.13857006583619572,10,0.006798183434289634,3.1,0.0,0.6,numeric_exact,3.0,5.4
compas,Rashomon,HH,RF,min_samples_split,0.1057065774429995,0.1441037378399434,10,0.006798183434289634,3.3,0.0,0.5,numeric_exact,3.0,6.3
compas,Rashomon,HH,RF,n_estimators,0.044590777454047166,0.039904687801618745,10,0.006798183434289634,4.3,0.0,0.2,numeric_exact,3.0,6.7
compas,Rashomon,HH,kNN,weights,0.7898864394090226,0.08831400708567305,3,0.017403927105555207,1.0,1.0,1.0,categorical_exact,2.0,3.0
compas,Rashomon,HH,kNN,n_neighbors,0.3703369126585073,0.12089201231490264,10,0.016053057141724416,1.3,0.7,1.0,numeric_tertile,3.0,6.5
compas,Rashomon,HH,kNN,p,0.019869698185140276,0.02604426702099689,10,0.016053057141724416,2.3,0.0,1.0,numeric_exact,2.0,11.8
compas,Rashomon,all,GBM,learning_rate,0.15098034124199863,0.12465169893703688,10,0.0012468141963382013,2.3,0.4,0.8,numeric_exact,3.7,3.9
compas,Rashomon,all,GBM,max_depth,0.14053013248810314,0.06094298363016899,10,0.0012434224573771237,1.8,0.4,1.0,numeric_exact,3.8,4.1
compas,Rashomon,all,GBM,n_estimators,0.12774295519687356,0.09647274328391046,10,0.0012454725594118574,2.3,0.2,0.8,numeric_exact,3.0,5.8
compas,Rashomon,all,GBM,subsample,0.03231969799848148,0.030954836480574465,10,0.0012454725594118574,3.6,0.0,0.4,numeric_exact,3.0,5.8
compas,Rashomon,all,LogReg,C,0.469236513058357,0.26321590032432896,10,5.982223858097044e-05,1.0,1.0,1.0,numeric_tertile,2.8,5.1
compas,Rashomon,all,LogReg,l1_ratio,0.06822170667782257,0.0497153183424786,10,5.982223858097044e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.7
compas,Rashomon,all,MLP,learning_rate_init,0.2657569121877331,0.12167345156411087,10,0.0012558569401979606,1.6,0.7,0.9,numeric_exact,3.0,3.9
compas,Rashomon,all,MLP,hidden_layer_sizes,0.18051261176785743,0.07833161076399649,10,0.0012558569401979606,2.1,0.1,1.0,categorical_exact,5.0,2.8
compas,Rashomon,all,MLP,alpha,0.15872913047394804,0.1299910961223897,10,0.0012558569401979606,2.6,0.2,0.8,numeric_exact,4.0,4.4
compas,Rashomon,all,MLP,activation,0.027777370992461185,0.028750880771958236,10,0.0012558569401979606,3.7,0.0,0.3,categorical_exact,2.0,9.1
compas,Rashomon,all,RF,max_depth,0.3028536949477415,0.23665477960462167,10,0.0032728536890428567,2.1,0.6,0.8,numeric_exact,3.3,3.8
compas,Rashomon,all,RF,max_features,0.14735921694524157,0.13813766511464765,10,0.0032385363885786686,2.9,0.3,0.7,categorical_exact,3.0,5.4
compas,Rashomon,all,RF,min_samples_leaf,0.11297918574321283,0.10704735187331241,10,0.0032385363885786686,3.0,0.0,0.7,numeric_exact,3.0,5.4
compas,Rashomon,all,RF,min_samples_split,0.10751794708636,0.1006678027709625,10,0.0032385363885786686,3.1,0.1,0.5,numeric_exact,3.0,6.3
compas,Rashomon,all,RF,n_estimators,0.0428676562311092,0.04399818352527694,10,0.0032385363885786686,3.9,0.0,0.3,numeric_exact,3.0,6.7
compas,Rashomon,all,kNN,weights,0.866995053875403,0.0036507321067772887,3,0.012148464239587313,1.0,1.0,1.0,categorical_exact,2.0,3.0
compas,Rashomon,all,kNN,n_neighbors,0.3072489419055918,0.14118293144535804,10,0.010692453277963337,1.3,0.7,1.0,numeric_tertile,3.0,6.5
compas,Rashomon,all,kNN,p,0.02526344046995067,0.031041354546788497,10,0.010692453277963337,2.3,0.0,1.0,numeric_exact,2.0,11.8
compas,Rashomon,non_HH,GBM,learning_rate,0.15251828342823717,0.12481470030644186,10,0.001090208044198913,2.3,0.4,0.8,numeric_exact,3.7,3.9
compas,Rashomon,non_HH,GBM,max_depth,0.14426512748149417,0.06449804374919606,10,0.0010869359994481174,1.8,0.4,1.0,numeric_exact,3.8,4.1
compas,Rashomon,non_HH,GBM,n_estimators,0.14276299781345367,0.10165530480271913,10,0.0010888654030291652,2.3,0.2,0.8,numeric_exact,3.0,5.8
compas,Rashomon,non_HH,GBM,subsample,0.03498721280125687,0.03241981994643169,10,0.0010888654030291652,3.6,0.0,0.4,numeric_exact,3.0,5.8
compas,Rashomon,non_HH,LogReg,C,0.46639013988819694,0.26037786573514127,10,5.8914689447692824e-05,1.0,1.0,1.0,numeric_tertile,2.8,5.1
compas,Rashomon,non_HH,LogReg,l1_ratio,0.0685794376793786,0.04986246424042356,10,5.8914689447692824e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.7
compas,Rashomon,non_HH,MLP,learning_rate_init,0.26809921500106076,0.1177769732419966,10,0.0011712183361862647,1.5,0.7,0.9,numeric_exact,3.0,3.9
compas,Rashomon,non_HH,MLP,hidden_layer_sizes,0.1874819863351102,0.08183452222895386,10,0.0011712183361862647,2.1,0.1,1.0,categorical_exact,5.0,2.8
compas,Rashomon,non_HH,MLP,alpha,0.1572284129078183,0.12761433984170725,10,0.0011712183361862647,2.6,0.2,0.9,numeric_exact,4.0,4.4
compas,Rashomon,non_HH,MLP,activation,0.027544508664658473,0.028058468296588833,10,0.0011712183361862647,3.8,0.0,0.2,categorical_exact,2.0,9.1
compas,Rashomon,non_HH,RF,max_depth,0.2993877467320524,0.23563782593011728,10,0.0029671109431250973,2.1,0.6,0.8,numeric_exact,3.3,3.8
compas,Rashomon,non_HH,RF,max_features,0.15641488817203147,0.14160086530648813,10,0.0029480974853137508,3.0,0.2,0.6,categorical_exact,3.0,5.4
compas,Rashomon,non_HH,RF,min_samples_split,0.11316194767841843,0.089898030078618,10,0.0029480974853137508,2.7,0.1,0.7,numeric_exact,3.0,6.3
compas,Rashomon,non_HH,RF,min_samples_leaf,0.09259975736488671,0.08498501885460749,10,0.0029480974853137508,3.2,0.0,0.7,numeric_exact,3.0,5.4
compas,Rashomon,non_HH,RF,n_estimators,0.03869003026983502,0.04385874083760423,10,0.0029480974853137508,4.0,0.1,0.2,numeric_exact,3.0,6.7
compas,Rashomon,non_HH,kNN,weights,0.8708408402140907,0.0026689078803332177,3,0.01179907029822073,1.0,1.0,1.0,categorical_exact,2.0,3.0
compas,Rashomon,non_HH,kNN,n_neighbors,0.300854094773768,0.14382553731325026,10,0.010258399785461324,1.3,0.7,1.0,numeric_tertile,3.0,6.5
compas,Rashomon,non_HH,kNN,p,0.025771510679746555,0.03132039662993794,10,0.010258399785461324,2.3,0.0,1.0,numeric_exact,2.0,11.8
compas,full_pool,HH,GBM,learning_rate,0.16821501988808735,0.06723397135326442,10,0.007771529412180615,1.2,0.8,1.0,numeric_exact,4.0,9.9
compas,full_pool,HH,GBM,max_depth,0.10629225832105918,0.0967484875817686,10,0.007771529412180615,2.2,0.1,0.9,numeric_exact,4.0,9.7
compas,full_pool,HH,GBM,n_estimators,0.05516012001388966,0.045251062115309215,10,0.007771529412180615,3.1,0.1,0.6,numeric_exact,3.0,14.2
compas,full_pool,HH,GBM,subsample,0.026253166891465902,0.024625619275784348,10,0.007771529412180615,3.5,0.0,0.5,numeric_exact,3.0,13.9
compas,full_pool,HH,LogReg,C,0.4045305867196075,0.09042761663040202,10,0.01469327639621707,1.0,1.0,1.0,numeric_tertile,3.0,13.3
compas,full_pool,HH,LogReg,l1_ratio,0.030214361598517363,0.021925901041616125,10,0.01469327639621707,2.0,0.0,1.0,numeric_tertile,3.0,10.5
compas,full_pool,HH,MLP,learning_rate_init,0.10486542504443026,0.052129472895146974,10,0.0036048921593956756,1.8,0.5,1.0,numeric_exact,3.0,14.4
compas,full_pool,HH,MLP,hidden_layer_sizes,0.06664599573836014,0.02372893347290543,10,0.0036048921593956756,2.1,0.3,0.9,categorical_exact,5.0,7.9
compas,full_pool,HH,MLP,alpha,0.058563938696033845,0.02025718666868158,10,0.0036048921593956756,2.2,0.2,1.0,numeric_exact,4.0,10.1
compas,full_pool,HH,MLP,activation,0.01562405907810262,0.01485415559595017,10,0.0036048921593956756,3.9,0.0,0.1,categorical_exact,2.0,22.3
compas,full_pool,HH,RF,max_depth,0.4380400131816099,0.1097546254866781,10,0.009786381547645445,1.1,0.9,1.0,numeric_exact,4.0,7.7
compas,full_pool,HH,RF,min_samples_leaf,0.18450802416341544,0.12273214758791919,10,0.009920595164471689,2.3,0.1,1.0,numeric_exact,3.0,12.9
compas,full_pool,HH,RF,min_samples_split,0.09535407491899109,0.06725739350387153,10,0.009920595164471689,3.0,0.0,0.7,numeric_exact,3.0,14.1
compas,full_pool,HH,RF,max_features,0.04464122770113223,0.03881179101372459,10,0.009920595164471689,4.1,0.0,0.1,categorical_exact,3.0,13.0
compas,full_pool,HH,RF,n_estimators,0.03153560352302907,0.026619191605644486,10,0.009920595164471689,4.5,0.0,0.2,numeric_exact,3.0,13.7
